Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Label
1047.0,-16164.0,2872.0,-1204.0,3300.0,-869.0,670.0,1
1069.0,-16380.0,3776.0,-504.0,-284.0,1222.0,1330.0,1
1091.0,-18024.0,3664.0,-3960.0,-3079.0,1154.0,1152.0,1
1113.0,-15648.0,2164.0,3384.0,-2278.0,-971.0,-492.0,1
1135.0,-15076.0,2380.0,3908.0,111.0,-2846.0,-653.0,1
1157.0,-15756.0,3652.0,5176.0,-499.0,-3916.0,-108.0,1
1179.0,-16852.0,5040.0,1608.0,-977.0,-4646.0,1618.0,1
1201.0,-15712.0,7268.0,-720.0,-2170.0,-5768.0,2439.0,1
1223.0,-16356.0,2440.0,1396.0,-2588.0,-7973.0,-1390.0,1
1245.0,-15796.0,-516.0,3848.0,1203.0,-8111.0,-1178.0,1
1267.0,-14408.0,2560.0,-1172.0,1905.0,-5274.0,2254.0,1
1289.0,-14060.0,984.0,-856.0,-3353.0,-3063.0,3396.0,1
1311.0,-13580.0,-2556.0,-2484.0,-5738.0,-1730.0,827.0,1
1333.0,-13280.0,-952.0,-1444.0,-8401.0,923.0,-3520.0,1
1355.0,-13336.0,-224.0,-3872.0,-9833.0,4738.0,-4557.0,1
1377.0,-11424.0,460.0,-3816.0,-11048.0,7858.0,-3925.0,1
1399.0,-23848.0,344.0,-32768.0,-13277.0,21703.0,3950.0,1
1421.0,-7904.0,5408.0,-7364.0,7762.0,-3613.0,1883.0,1
1443.0,-28012.0,18360.0,24716.0,5608.0,-5020.0,7225.0,1
1465.0,-15696.0,7264.0,-9112.0,4043.0,3692.0,954.0,1
1487.0,-15048.0,404.0,1644.0,-2023.0,1349.0,276.0,1
1509.0,-16476.0,716.0,-656.0,-3579.0,-163.0,-257.0,1
1531.0,-15756.0,1724.0,-896.0,-1466.0,2193.0,1728.0,1
1553.0,-19492.0,872.0,1236.0,2331.0,107.0,1640.0,1
1575.0,-17064.0,3120.0,-1172.0,707.0,-670.0,372.0,1
1597.0,-15440.0,4764.0,-1460.0,440.0,163.0,-19.0,1
1619.0,-16276.0,3124.0,-688.0,-601.0,-62.0,-1565.0,1
